Country,Vessels,Fishing_Days,Fishing_kWh
,,,
China,838,115061,2455
,,,
Taiwan,593,78870,1284
,,,
Japan,478,53466,737
,,,
Indonesia,450,37641,128
,,,
Spain,252,24541,225
,,,
South Korea,200,30102,575
,,,
United States of America,141,7667,79
,,,
Russia,73,6148,287
,,,
Portugal,60,6750,91
,,,
Vanuatu,52,8156,167
,,,
Norway,41,1173,73
,,,
Canada ,36,759,55
,,,
Seychelles,35,3465,63
,,,
Mexico,28,2247,81
,,,
NA,28,1493,32
,,,
France,23,1219,31
,,,
Fiji,21,1564,17
,,,
Ecuador,17,1022,22
,,,
Sri Lanka,17,258,1
,,,
Faroe Islands,16,441,22
,,,
Panama,15,489,12
,,,
New Zealand,13,517,11
,,,
Colombia,12,1496,58
,,,
Micronesia,12,309,7
,,,
Kiribati,11,391,11
,,,
United Kingdom,11,638,13
,,,
Ireland,9,82,1
,,,
Latvia,9,1458,27
,,,
Malaysia,9,814,13
,,,
Marshall Islands,9,302,7
,,,
South Africa,9,165,2
,,,
Venezuela,9,318,10
,,,
Chile,8,499,15
,,,
Ghana,8,641,15
,,,
Belize,6,450,7
,,,
Estonia,5,618,25
,,,
Germany,5,284,13
,,,
Lithuania,5,223,12
,,,
Maldives,5,246,4
,,,
Ukraine,5,605,19
,,,
Mauritius,4,152,2
,,,
Australia,3,29,0
,,,
Bonaire,3,53,1
,,,
Brazil,3,163,1
,,,
Iceland,3,29,2
,,,
Iran,3,108,1
,,,
Thailand,3,36,0
,,,
Denmark,2,80,6
,,,
Guatemala,2,24,0
,,,
India,2,53,1
,,,
Papua New Guinea,2,20,1
,,,
Senegal,2,36,0
,,,
Tanzania,2,194,4