Country,negotiations
Algeria,1
Argentina,1
Australia,1
Austria,1
Bahamas,1
Bangladesh,1
Barbados,1
Belgium,1
Brazil,1
Brunei Darussalam,1
Bulgaria,1
Cameroon,1
Canada,1
Chile,1
China,1
Colombia,1
Comoros,1
Costa Rica,1
Croatia,1
Cuba,1
Cyprus,1
Czech Republic,1
Djibouti,1
Ecuador,1
Egypt,1
El Salvador,1
Estonia,1
Finland,1
France,1
Germany,1
Ghana,1
Greece,1
Guatemala,1
Guinea-Bissau,1
Honduras,1
Iceland,1
India,1
Iran,1
Ireland,1
Isreal,1
Italy,1
Jamaica,1
Japan,1
Lithuania,1
Malaysia,1
Malta,1
Mauritania,1
Mauritius,1
Mexico,1
Micronesia,1
Mongolia,1
Morocco,1
Myanmar,1
Namibia,1
Nauru,1
Nepal,1
Netherlands,1
New Zealand,1
Nicaragua,1
Norway,1
Oman,1
Pakistan,1
Palau,1
Panama,1
Papua New Guinea,1
Peru,1
Philippines,1
Poland,1
Portugal,1
Romania,1
Russia,1
Saint Kitts and Nevis,1
Samoa,1
Serbia,1
Sierra Leone,1
Singapore,1
Slovakia,1
Slovania,1
Solomon Islands,1
South Africa,1
Spain,1
Sri Lanka,1
Sudan,1
Suriname,1
Sweden,1
Switzerland,1
Thailand,1
Togo,1
Tonga,1
Turkey,1
Tuvalu,1
Ukraine,1
United Kingdom,1
Tanzania,1
United States of America,1
Uruguay,1
Viet Nam,1